2022-03-25 09:35:02,699 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:35:02,701 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:38:11,891 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:38:11,893 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:55:42,765 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:55:42,767 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:58:25,784 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:58:25,786 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:20,811 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:20,813 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 09:59:57,624 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 09:59:57,626 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 10:00:17,246 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 182.55 and throttle: 30
2022-03-25 10:00:17,448 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 184.35 and throttle: 30
2022-03-25 10:00:17,650 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 183.01999999999998 and throttle: 30
2022-03-25 10:00:17,851 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.29000000000002 and throttle: 30
2022-03-25 10:00:18,053 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 182.44 and throttle: 30
2022-03-25 10:00:18,253 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 173.59 and throttle: 30
2022-03-25 10:00:18,454 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 179.3 and throttle: 30
2022-03-25 10:00:18,656 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 179.43 and throttle: 30
2022-03-25 10:00:18,857 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 176.4 and throttle: 30
2022-03-25 10:00:19,057 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 183.2 and throttle: 30
2022-03-25 10:00:19,260 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 183.26 and throttle: 30
2022-03-25 10:00:19,460 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 179.32 and throttle: 30
2022-03-25 10:00:19,662 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 188.95999999999998 and throttle: 30
2022-03-25 10:00:19,861 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 177.07 and throttle: 30
2022-03-25 10:00:20,062 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 186.28 and throttle: 30
2022-03-25 10:00:20,264 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.35 and throttle: 30
2022-03-25 10:00:20,466 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.95999999999998 and throttle: 30
2022-03-25 10:00:20,666 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 187.73000000000002 and throttle: 30
2022-03-25 10:00:20,868 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 182.24 and throttle: 30
2022-03-25 10:00:21,068 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 168.68 and throttle: 30
2022-03-25 10:00:21,268 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 185.45 and throttle: 30
2022-03-25 10:00:21,470 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 173.2 and throttle: 30
2022-03-25 10:00:21,670 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 179.37 and throttle: 30
2022-03-25 10:00:21,872 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 174.85 and throttle: 30
2022-03-25 10:00:21,977 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 178.14 and throttle: 30
2022-03-25 10:00:22,195 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.25 and throttle: 30
2022-03-25 10:00:22,397 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 181.4 and throttle: 30
2022-03-25 10:00:22,613 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 180.11 and throttle: 30
2022-03-25 10:00:44,718 - pilot.pilot_node_without_oa - INFO - 
NEW RUN IN PROGRESS
2022-03-25 10:00:44,720 - pilot.pilot_node_without_oa - DEBUG - Pilot running
2022-03-25 10:00:44,841 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:44,957 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:45,196 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:45,361 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:45,609 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:45,768 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:45,997 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 404.0 and throttle: 30
2022-03-25 10:00:46,166 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 26.860000000000014 and throttle: 30
2022-03-25 10:00:46,398 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 26.75 and throttle: 30
2022-03-25 10:00:46,601 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 26.180000000000007 and throttle: 30
2022-03-25 10:00:46,804 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 26.689999999999998 and throttle: 30
2022-03-25 10:00:47,005 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 29.230000000000018 and throttle: 30
2022-03-25 10:00:47,207 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 29.410000000000025 and throttle: 30
2022-03-25 10:00:47,406 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 29.519999999999982 and throttle: 30
2022-03-25 10:00:47,609 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 32.05000000000001 and throttle: 30
2022-03-25 10:00:47,810 - pilot.pilot_node_without_oa - DEBUG - to car, angle: 32.56999999999999 and throttle: 30
